NAMC_ID,NAMC_CODE,tamil_term,namc_term_word,short_definition,definition,section
132,BLA1.1,மயிர் உதிரல்,Mayir Utiral,Hair loss,"It is characterised by loss of hair in scalp or body due to malnutrition, stress, certain medications. It is explained by aggravation of Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu, Mūḷai and sukkilam gets affected.",Siddha
133,BM,முகப்பரு,Mukapparu,Acne,-,Siddha
134,BMB,அழல்,Azhal,Acne classified under azhal,-,Siddha
135,BMB1.1,முகப்பரு,Mukapparu,Acne,"It is characterised by chronic inflammation of pilo sebaceous follicles, comedones, papules, pustules, cysts, nodules and often scars. It occurs primarily in the oily areas of skin. It is explained by aggravation of Aẕal and associated with aiyam. Among t",Siddha
136,BN,நரை,Narai,Grey hair,-,Siddha
137,BNC,ஐயம்,Aiyam,Grey hair classified under aiyam,-,Siddha
138,BNC1.1,நரை,Narai,Grey hair,"It is characterized by premature greying of hair in young adults and even in children. It may be explained by the decreased ranjaga Aẕal and vali which in turn increases aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, senner, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets",Siddha
139,BO,பால் உண்ணி,Pāl Uṉṉi,Molluscum,-,Siddha
140,BOA,வளி,Vaḷi,Molluscum classified under vali,-,Siddha
141,BOA1.1,பால் உண்ணி,Pāl Uṉṉi,Molluscum,"It is characterised by the eruption of small, umblicated, multiple pearled or flesh-coloured smooth, shiny, globular papules, located on the face, trunk and extremities. It is explained by derangement of vali. Among the seven Uṭaṟtātukkaḷ Cāram gets aff",Siddha
142,BQ,படர்தாமரை,Paṭartāmarai,Ring worm infection,-,Siddha
143,BQC,ஐயம்,Aiyam,Ring worm infection classified under aiyam,-,Siddha
144,BQC1.1,படர்தாமரை,Paṭartāmarai,Ring worm infection,"It is characterised by skin lesion of small erythematous area, scaling or vesicular and crusted patch that spreads peripherally and partly clears in centre. Pruritus, burning sensation and hyperpigmentation of skin also present. It is explained by increas",Siddha
145,BR,பேன்கள்,Pēṉkaḷ,Lice,-,Siddha
146,BRA,வளி,Vaḷi,Lice classified under Vali,-,Siddha
147,BRA1.1,பேன்கள்,Pēṉkaḷ,Pediculosis,"It is characterised by itching and irritation due to infestation of lice in any part of the body. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and gets affected.",Siddha
148,BS,பெருநோய்,Perunōy,Skin eruptions,-,Siddha
149,BSA,வளி,Vaḷi,Skin eruptions classified under vali,-,Siddha
150,BSA1.1,அத்திக்காய் பெருநோய் (அவுதும்பர குட்டம்),Attikkāy Peru Nōy (Avutumpara Kuṭṭam),Neurofibroma,"It is characterised by fig like hardened skin eruptions, spreading all over the body, wrinkles, itching and numbness, giddiness. It is explained by increased Aẕal and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
151,BSA1.2,நாப் பெருநோய் (சித்ம குட்டம்),Nāp Peru Nōy (Citmā Kuṭṭam),Greenish yellow annular lesion with numbness,"It is characterised by hypopigmented skin lesions, subsequently changes to greenish yellow, numbness, could not able to move the body, develops memory loss. It may be explained by increased vatham and pitham. Of the seven udal thathukkal, Cāram, senner,",Siddha
152,BSA1.3,சொறிப் பெருநோய் (விகர்ச்சிக குட்டம் ),Coṟip Peru Nōy (Vicarccikā Kuṭṭam),Dry skin with lesiosn greasy to touch burning sensation,"It is characterised by skin lesion greasy to touch, pallor skin, numbness, burning sensation, painful, elevated skin lesions with repeated itching results in erythema , thickening, dryness of skin, colic, loss of temper and roughness of skin. It is expla",Siddha
153,BSA1.4,தோல் வெடிப் பெருநோய் (சர்மத்தள குட்டம் ),Tōlveṭip Peru Nōy (Carmataḷa Kuṭṭam),Thickened skin with linear fissures with throbbing pain,"It is characterised by linear fissures over the skin, thickened skin with pain and red colour, throbbing pain, lethargic, giddiness, abdominal pain. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affec",Siddha
154,BSA1.5,வளையப் பெருநோய் (மண்டலக் குட்டம்),Vaḷaiyap Peru Nōy (Maṇṭalak Kuṭṭam),Greenish red colured skin lesions wth oozing,"It is characterised by greenish skin lesion with reddish margin, lesion appears all over the body including scalp, thickening and darkening of the skin, itching, oozing of reddish watery secretion all over body. It may be explained by increased vatham an",Siddha
155,BSA1.6,வலிப் பெருநோய் (அபரிச குட்டம்),Valip Peru Nōy (Aparica Kuṭṭam),Pain and fissures over the body,"It is characterised generalized pain, venous stasis, tenderness and tremor all over the body, exudation, oedema, followed by fissure. It is explained by increased vali and Aẕal Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
156,BSB,அழல்,Azhal,Skin eruptions classified under azhal,-,Siddha
157,BSB1.1,கொப்புளப் பெருநோய் (விச்போடகக் குட்டம்),Koppuḷap Peru Nōy (Vicpōṭakak Kuṭṭam),Blisters with burning sensation and thickened skin,"It is characterised by fissures, cracks and ulceration beginning in the flexor, pruritus and burning sensation, inflammation in the arms, legs, eyes, ears and trunks, body skin glitters like snake skin, blackish discolouration spreads over the flexor are",Siddha
158,BSB1.2,பன்றித்தோல் பெருநோய் (கீடீப குட்டம்),paṉṟit Tōl Peru Nōy (Kiṭīpa Kuṭṭam),Greenish discolouration with elephant skin thickening,"It is characterised by greenish discolouration of the body, scleroderma, numbness, severe itching, frequent urination, foul body odour. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
159,BSB1.3,சிரங்குப் பெருநோய் (பாம குட்டம்),ciraṅkup Peru Nōy (Pāmā Kuṭṭam),Scaling of the skin with itching and scrapping,"It is characterised by hypopigmented patches with itching,purulent discharge,absoption of phalanges, burning sensation, appearance of the lesions like calyx of the lotus, scratches, scaling, It is explained by increased vali and Aẕal.Among the seven U",Siddha
160,BSB1.4,தடிப்புப் பெருநோய் (தத்துரு குட்டம்),Taṭippup Peru Nōy (Tatturukuṭṭam),Annular reddish skin discoluration,"It is characterised by annular reddish skin lesion, exacerbates with increasing tenderness,curling of hair in the lesion area, numbness, paraesthesia, anasarca. It is explained by increased Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr and Ū",Siddha
161,BSB1.5,தோல் பெருநோய் (சர்ம குட்டம்),Tōṟ Peru Nōy (Carma Kuṭṭam),Greenish and pale skin eruptions with pus,"It is characterised by fissured skin, pain all over the body, anasarca, pruritis, bluish discolouration of the body like Elitoria ternatea flower colour. It may be explained by increased Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ū",Siddha
162,BSC,ஐயம்,Aiyam,Skin eruptions classified under aiyam,-,Siddha
163,BSC1.1,கரு பெருநோய் (கிருஷ்ண குட்டம்),Karu Peru Nōy (Kiruṣṇa Kuṭṭam),Blackish discolouration of the skin,"It is characterised by blackish discoluration all over the body which turns red with itching and foul odour, warmth ,tenderness ,which appears first in the lower limbs then in inguinal area and scalp. It is explained by increased vatham and pitham. Among",Siddha
164,BSC1.2,படர்தாமரை பெருநோய் (புண்டரிகக் குட்டம்),Paṭartāmarai Peru Nōy (Puṇṭarīkak Kuṭṭam),Ring worm infection,"It is characterised by skin lesion which appears either as lotus petals, pale or black or red or milky white in colour, pruritus,scratching of the skin, oozing, pain and tenderness. It is explained by increased vali which inturn followed by Aẕal. Among",Siddha
165,BT,வெண்படை,Veṇpaṭai,Leucoderma,-,Siddha
166,BTA,வளி,Vaḷi,Leucoderma classified under vali,-,Siddha
167,BTA1.1,வாத வெண்படை,Vāta Veṇ Paṭai,Leucoderma caused by increased vali,"It is characterised by roughened, unevenly depigmented skin with reddish black in colour. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected.",Siddha
168,BTB,அழல்,Azhal,Leucoderma classified under azhal,-,Siddha
169,BTB1.1,பித்த வெண்படை,Pitta Veṇ Paṭai,Leucoderma caused by increased azhal,"It is characterised by lotus colour reddish white skin lesion, burning sensation, loss of hair. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected.",Siddha
170,BTB1.2,மேக வெண்படை,Mēka Veṇ Paṭai,Leucoderma caused by increased heat,"It is characterised by skin patches in the venereal diseased person after 4 or 6 months, border of the lesion may be light yellow or thick yellow colour. It is explained by increased vali, Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram, senener and",Siddha
171,BTC,ஐயம்,Aiyam,Leucoderma classified undre aiyam,-,Siddha
172,BTC1.1,கப வெண்படை,Kapa Veṇ Paṭai,Leucoderma caused by increased aiyam,"It is characterised by depigmented skin lesion appearing as white as Leucas aspera flower with defined margins which spreads over the body with pruritus. It is explained by increased aiyam.Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected.",Siddha
173,BU,இதர நோய்கள்,Itara Nōykaḷ,Miscellanous skin diseases,-,Siddha
174,BUA,வளி,Vaḷi,Miscellanous skin diseases classified under vali,-,Siddha
175,BUA1.1,பொடுகு,Poṭuku,Dandruff,"It is characterised by itching in scalp and on scratching produces white flakes which spreads throughout the scalp and leads to hair fall. It is explained by increased Aẕal . Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected.",Siddha
176,BUA1.2,புழுவெட்டு,Puẕuveṭṭu,Alopecia,"It is characterised by small bald patches which appears shinny. It starts from small area and the baldness spreads to larger extent leading to hairfall. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected.",Siddha
177,BUA1.3,தோல் வறட்சி,Tōḷ Vaṟaṭci,Dryness of skin,"It is characterised by dryness, thickness and scaliness of the skin. It is explained by increased vali and decreased aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected.",Siddha
178,BUA1.4,தோல்தடிப்பு,Tōḷtaṭippu,Thickness of the skin,"It is characterised by the wheals of whitish or reddish evanescent plaques associated with severe itching , stinging or pricking sensation. It is explained by the aggravation of pitham associated with kabam. Among the seven Uṭaṟtātukkaḷ, saram, seneer,",Siddha
179,BUB,அழல்,Azhal,Miscellanous skin diseases classified under azhal,-,Siddha
180,BUB1.1,தாபிதம்,Tāpitam,Inflammation,"It is characterised by reddening, swelling and warmthness due to local reaction of living tissue of an injury. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr and Ūṉ get affected.",Siddha
181,BUB1.2,தேமல்,Tēmal,Tinea versicolor,"It is characterised by round or other shaped patches on the skin that may be lighter or darker in colour. Patches may appear anywhere on the body, they may be itchy, dry and scaly. It is explained by increased vali which is followed by Aẕal. Among the s",Siddha
182,BUB1.3,சில்விட தடிப்பு,Cilviṭa Taṭippu,Allergy due to insect bite,"It is characterised by pruritis and infammation in the skin. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, saram and Cennīr gets affected.",Siddha
183,BUB1.4,மேகத் தழும்பு,Mēkat Taẕumpu,Scar caused by veneral ulcers,"It is characterised by scar caused by the syphilis and gonorrhoea. Painless ulcers along with discharges leaving scars after healing. It is explained by increased Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram,Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
184,BUB1.5,தழும்பு,Taẕumpu,Scar,"It is characterised by the healed destructive lesion of dermis and deeper parts. Sometimes itching, scabies, burns, injuries and other skin disease causes scars. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr and Ūṉ gets",Siddha
